,class,group,method,coverage,milestone
49,DataFrame,Binary operator functions,rtruediv,✅,
50,DataFrame,Binary operator functions,sub,✅,phase 1
51,DataFrame,Binary operator functions,truediv,✅,
52,DataFrame,Combining / comparing / joining / merging,assign,✅,
53,DataFrame,Combining / comparing / joining / merging,compare,❌,
54,DataFrame,Combining / comparing / joining / merging,join,🟡,phase 1
55,DataFrame,Combining / comparing / joining / merging,merge,🟡,phase 1
56,DataFrame,Combining / comparing / joining / merging,update,❌,
57,DataFrame,Computations / descriptive stats,abs,✅,
58,DataFrame,Computations / descriptive stats,all,🟡,
59,DataFrame,Computations / descriptive stats,any,🟡,
60,DataFrame,Computations / descriptive stats,clip,❌,
61,DataFrame,Computations / descriptive stats,corr,🟡,phase 2
62,DataFrame,Computations / descriptive stats,corrwith,❌,
63,DataFrame,Computations / descriptive stats,count,✅,phase 1
64,DataFrame,Computations / descriptive stats,cov,❌,
65,DataFrame,Computations / descriptive stats,cummax,🟡,phase 2
66,DataFrame,Computations / descriptive stats,cummin,🟡,phase 2
67,DataFrame,Computations / descriptive stats,cumprod,❌,
68,DataFrame,Computations / descriptive stats,cumsum,🟡,phase 2
69,DataFrame,Computations / descriptive stats,describe,✅,phase 2
70,DataFrame,Computations / descriptive stats,diff,✅,phase 2
71,DataFrame,Computations / descriptive stats,eval,❌,
72,DataFrame,Computations / descriptive stats,kurt,❌,
73,DataFrame,Computations / descriptive stats,kurtosis,❌,
74,DataFrame,Computations / descriptive stats,max,🟡,phase 1
75,DataFrame,Computations / descriptive stats,mean,✅,phase 1
76,DataFrame,Computations / descriptive stats,median,✅,phase 1
77,DataFrame,Computations / descriptive stats,min,✅,phase 1
78,DataFrame,Computations / descriptive stats,mode,❌,
79,DataFrame,Computations / descriptive stats,nunique,🟡,phase 1
80,DataFrame,Computations / descriptive stats,pct_change,🟡,
81,DataFrame,Computations / descriptive stats,prod,❌,
82,DataFrame,Computations / descriptive stats,product,❌,
83,DataFrame,Computations / descriptive stats,quantile,🟡,phase 1
84,DataFrame,Computations / descriptive stats,rank,🟡,phase 2
85,DataFrame,Computations / descriptive stats,round,🟡,phase 2
86,DataFrame,Computations / descriptive stats,sem,❌,
87,DataFrame,Computations / descriptive stats,skew,🟡,phase 2
88,DataFrame,Computations / descriptive stats,std,🟡,phase 1
89,DataFrame,Computations / descriptive stats,sum,✅,phase 1
90,DataFrame,Computations / descriptive stats,value_counts,🟡,phase 2
91,DataFrame,Computations / descriptive stats,var,🟡,phase 1
92,DataFrame,Conversion,astype,✅,phase 1
93,DataFrame,Conversion,bool,❌,
94,DataFrame,Conversion,convert_dtypes,❌,
95,DataFrame,Conversion,copy,✅,phase 1
96,DataFrame,Conversion,infer_objects,❌,
97,DataFrame,"Function application, GroupBy & window",agg,🟡,phase 1
98,DataFrame,"Function application, GroupBy & window",aggregate,🟡,
99,DataFrame,"Function application, GroupBy & window",apply,🟡,phase 1
100,DataFrame,"Function application, GroupBy & window",applymap,🟡,phase 1
101,DataFrame,"Function application, GroupBy & window",ewm,❌,
102,DataFrame,"Function application, GroupBy & window",expanding,✅,
103,DataFrame,"Function application, GroupBy & window",groupby,✅,phase 1
104,DataFrame,"Function application, GroupBy & window",pipe,❌,
105,DataFrame,"Function application, GroupBy & window",rolling,✅,phase 2
106,DataFrame,"Function application, GroupBy & window",transform,❌,
107,DataFrame,"Indexing, iteration",__iter__,✅,
108,DataFrame,"Indexing, iteration",at,✅,
109,DataFrame,"Indexing, iteration",get,❌,on-hold
110,DataFrame,"Indexing, iteration",head,✅,phase 1
111,DataFrame,"Indexing, iteration",iat,✅,
112,DataFrame,"Indexing, iteration",iloc,✅,phase 1
113,DataFrame,"Indexing, iteration",insert,✅,phase 1
114,DataFrame,"Indexing, iteration",isin,✅,phase 2
115,DataFrame,"Indexing, iteration",items,❌,on-hold
116,DataFrame,"Indexing, iteration",iterrows,✅,phase 2
117,DataFrame,"Indexing, iteration",itertuples,✅,phase 2
118,DataFrame,"Indexing, iteration",keys,❌,on-hold
119,DataFrame,"Indexing, iteration",loc,✅,phase 1
120,DataFrame,"Indexing, iteration",mask,🟡,
121,DataFrame,"Indexing, iteration",pop,❌,
122,DataFrame,"Indexing, iteration",query,❌,
123,DataFrame,"Indexing, iteration",tail,✅,phase 1
124,DataFrame,"Indexing, iteration",where,🟡,phase 1
125,DataFrame,"Indexing, iteration",xs,❌,
126,DataFrame,Metadata,attrs,❌,
127,DataFrame,Missing data handling,backfill,❌,
128,DataFrame,Missing data handling,bfill,❌,
129,DataFrame,Missing data handling,dropna,🟡,phase 1
130,DataFrame,Missing data handling,ffill,✅,
131,DataFrame,Missing data handling,fillna,🟡,phase 1
132,DataFrame,Missing data handling,interpolate,❌,
133,DataFrame,Missing data handling,isna,✅,phase 1
134,DataFrame,Missing data handling,isnull,✅,phase 1
135,DataFrame,Missing data handling,notna,✅,phase 1
136,DataFrame,Missing data handling,notnull,✅,phase 1
137,DataFrame,Missing data handling,pad,✅,
138,DataFrame,Missing data handling,replace,🟡,phase 2
139,DataFrame,Plotting,boxplot,❌,
140,DataFrame,Plotting,hist,❌,
141,DataFrame,Plotting,plot,❌,
142,DataFrame,Plotting,plot.area,❌,
143,DataFrame,Plotting,plot.bar,❌,
144,DataFrame,Plotting,plot.barh,❌,
145,DataFrame,Plotting,plot.box,❌,
146,DataFrame,Plotting,plot.density,❌,
147,DataFrame,Plotting,plot.hexbin,❌,
148,DataFrame,Plotting,plot.hist,❌,
149,DataFrame,Plotting,plot.kde,❌,
150,DataFrame,Plotting,plot.line,❌,
151,DataFrame,Plotting,plot.pie,❌,
152,DataFrame,Plotting,plot.scatter,❌,
153,DataFrame,Plotting and visualization,boxplot,❌,
154,DataFrame,Plotting and visualization,hist,❌,
155,DataFrame,Plotting and visualization,plot,❌,
156,DataFrame,Plotting and visualization,plot.area,❌,
157,DataFrame,Plotting and visualization,plot.bar,❌,
158,DataFrame,Plotting and visualization,plot.barh,❌,
159,DataFrame,Plotting and visualization,plot.box,❌,
160,DataFrame,Plotting and visualization,plot.density,❌,
161,DataFrame,Plotting and visualization,plot.hexbin,❌,
162,DataFrame,Plotting and visualization,plot.hist,❌,
163,DataFrame,Plotting and visualization,plot.kde,❌,
164,DataFrame,Plotting and visualization,plot.line,❌,
165,DataFrame,Plotting and visualization,plot.pie,❌,
166,DataFrame,Plotting and visualization,plot.scatter,❌,
167,DataFrame,Reindexing / selection / label manipulation,add_prefix,✅,phase 2
168,DataFrame,Reindexing / selection / label manipulation,add_suffix,✅,phase 2
169,DataFrame,Reindexing / selection / label manipulation,align,❌,
170,DataFrame,Reindexing / selection / label manipulation,at_time,❌,
171,DataFrame,Reindexing / selection / label manipulation,between_time,❌,
172,DataFrame,Reindexing / selection / label manipulation,drop,✅,phase 1
173,DataFrame,Reindexing / selection / label manipulation,drop_duplicates,✅,phase 2
174,DataFrame,Reindexing / selection / label manipulation,duplicated,✅,phase 2
175,DataFrame,Reindexing / selection / label manipulation,equals,❌,
176,DataFrame,Reindexing / selection / label manipulation,filter,❌,on-hold
177,DataFrame,Reindexing / selection / label manipulation,first,❌,on-hold
178,DataFrame,Reindexing / selection / label manipulation,head,✅,phase 1
179,DataFrame,Reindexing / selection / label manipulation,idxmax,🟡,phase 2
180,DataFrame,Reindexing / selection / label manipulation,idxmin,🟡,phase 2
181,DataFrame,Reindexing / selection / label manipulation,last,❌,
182,DataFrame,Reindexing / selection / label manipulation,reindex,❌,
183,DataFrame,Reindexing / selection / label manipulation,reindex_like,❌,
184,DataFrame,Reindexing / selection / label manipulation,rename,🟡,phase 1
185,DataFrame,Reindexing / selection / label manipulation,rename_axis,✅,
186,DataFrame,Reindexing / selection / label manipulation,reset_index,✅,phase 1
187,DataFrame,Reindexing / selection / label manipulation,sample,✅,phase 2
188,DataFrame,Reindexing / selection / label manipulation,set_axis,✅,
189,DataFrame,Reindexing / selection / label manipulation,set_index,✅,phase 1
190,DataFrame,Reindexing / selection / label manipulation,tail,✅,phase 1
191,DataFrame,Reindexing / selection / label manipulation,take,✅,
192,DataFrame,Reindexing / selection / label manipulation,truncate,❌,
193,DataFrame,"Reshaping, sorting, transposing",T,🟡,phase 1
194,DataFrame,"Reshaping, sorting, transposing",droplevel,❌,
195,DataFrame,"Reshaping, sorting, transposing",explode,❌,
196,DataFrame,"Reshaping, sorting, transposing",melt,🟡,phase 2
197,DataFrame,"Reshaping, sorting, transposing",nlargest,🟡,
198,DataFrame,"Reshaping, sorting, transposing",nsmallest,🟡,
199,DataFrame,"Reshaping, sorting, transposing",pivot,✅,
200,DataFrame,"Reshaping, sorting, transposing",pivot_table,🟡,phase 1
201,DataFrame,"Reshaping, sorting, transposing",reorder_levels,❌,
202,DataFrame,"Reshaping, sorting, transposing",sort_index,🟡,phase 2
203,DataFrame,"Reshaping, sorting, transposing",sort_values,🟡,phase 1
204,DataFrame,"Reshaping, sorting, transposing",squeeze,✅,
205,DataFrame,"Reshaping, sorting, transposing",stack,🟡,
206,DataFrame,"Reshaping, sorting, transposing",swapaxes,❌,
207,DataFrame,"Reshaping, sorting, transposing",swaplevel,❌,
208,DataFrame,"Reshaping, sorting, transposing",to_xarray,❌,
209,DataFrame,"Reshaping, sorting, transposing",transpose,✅,phase 1
210,DataFrame,"Reshaping, sorting, transposing",unstack,❌,
211,DataFrame,Serialization / IO / conversion,__dataframe__,❌,
212,DataFrame,Serialization / IO / conversion,from_dict,❌,
213,DataFrame,Serialization / IO / conversion,from_records,❌,
214,DataFrame,Serialization / IO / conversion,style,❌,
215,DataFrame,Serialization / IO / conversion,to_clipboard,❌,
216,DataFrame,Serialization / IO / conversion,to_csv,❌,
217,DataFrame,Serialization / IO / conversion,to_dict,✅,phase 2
218,DataFrame,Serialization / IO / conversion,to_excel,❌,
219,DataFrame,Serialization / IO / conversion,to_feather,❌,
220,DataFrame,Serialization / IO / conversion,to_gbq,❌,
221,DataFrame,Serialization / IO / conversion,to_hdf,❌,
222,DataFrame,Serialization / IO / conversion,to_html,❌,
223,DataFrame,Serialization / IO / conversion,to_json,❌,
224,DataFrame,Serialization / IO / conversion,to_latex,❌,
225,DataFrame,Serialization / IO / conversion,to_markdown,❌,
226,DataFrame,Serialization / IO / conversion,to_orc,❌,
227,DataFrame,Serialization / IO / conversion,to_parquet,❌,
228,DataFrame,Serialization / IO / conversion,to_pickle,❌,
229,DataFrame,Serialization / IO / conversion,to_records,❌,
230,DataFrame,Serialization / IO / conversion,to_sql,❌,
231,DataFrame,Serialization / IO / conversion,to_stata,❌,
232,DataFrame,Serialization / IO / conversion,to_string,❌,
233,DataFrame,Sparse accessor,sparse.density,❌,
234,DataFrame,Sparse accessor,sparse.from_spmatrix,❌,
235,DataFrame,Sparse accessor,sparse.to_coo,❌,
236,DataFrame,Sparse accessor,sparse.to_dense,❌,
237,DataFrame,Time Series-related,asfreq,❌,
238,DataFrame,Time Series-related,asof,❌,
239,DataFrame,Time Series-related,first_valid_index,✅,phase 2
240,DataFrame,Time Series-related,last_valid_index,✅,phase 2
241,DataFrame,Time Series-related,resample,✅,phase 1
242,DataFrame,Time Series-related,shift,🟡,phase 2
243,DataFrame,Time Series-related,to_period,❌,
244,DataFrame,Time Series-related,to_timestamp,❌,
245,DataFrame,Time Series-related,tz_convert,❌,
246,DataFrame,Time Series-related,tz_localize,❌,
247,DataFrameGroupBy,Function application,agg,🟡,
248,DataFrameGroupBy,Function application,aggregate,🟡,
249,DataFrameGroupBy,Function application,apply,🟡,phase 2
250,DataFrameGroupBy,Function application,filter,❌,
251,DataFrameGroupBy,Function application,pipe,❌,
252,DataFrameGroupBy,Function application,transform,🟡,phase 2
253,DataFrameGroupBy,"Indexing, iteration",__iter__,❌,
254,DataFrameGroupBy,"Indexing, iteration",get_group,🟡,
255,DataFrameGroupBy,"Indexing, iteration",groups,✅,
256,DataFrameGroupBy,"Indexing, iteration",indices,✅,
257,DataFrameGroupBy,Plotting and visualization,boxplot,❌,
258,DataFrameGroupBy,Plotting and visualization,hist,❌,
259,DataFrameGroupBy,Plotting and visualization,plot,❌,
260,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,all,✅,
261,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,any,✅,
262,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,bfill,❌,
263,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,corr,❌,
264,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,corrwith,❌,
265,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,count,✅,
266,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,cov,❌,
267,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,cumcount,🟡,phase 2
268,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,cummax,✅,phase 2
269,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,cummin,✅,phase 2
270,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,cumprod,❌,
271,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,cumsum,✅,phase 2
272,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,describe,❌,
273,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,diff,❌,
274,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,ffill,❌,
275,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,fillna,❌,
276,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,first,🟡,
277,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,head,✅,phase 2
278,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,idxmax,🟡,phase 2
279,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,idxmin,🟡,phase 2
280,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,last,🟡,
281,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,max,🟡,
282,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,mean,✅,
283,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,median,✅,
284,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,min,🟡,
285,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,ngroup,❌,
286,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,nth,❌,
287,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,nunique,✅,
288,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,ohlc,❌,
289,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,pct_change,❌,
290,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,prod,❌,
291,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,quantile,🟡,
292,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,rank,🟡,phase 2
293,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,resample,❌,
294,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,rolling,❌,
295,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,sample,❌,
296,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,sem,❌,
297,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,shift,🟡,phase 2
298,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,size,🟡,
299,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,skew,❌,
300,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,std,🟡,
301,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,sum,🟡,
302,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,tail,✅,phase 2
303,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,take,❌,
304,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,value_counts,❌,
305,DataFrameGroupBy,``DataFrameGroupBy`` computations / descriptive stats,var,🟡,
306,DatetimeIndex,Conversion,as_unit,❌,
307,DatetimeIndex,Conversion,to_frame,❌,
308,DatetimeIndex,Conversion,to_period,❌,
309,DatetimeIndex,Conversion,to_pydatetime,❌,
310,DatetimeIndex,Conversion,to_series,❌,
311,DatetimeIndex,Methods,mean,❌,
312,DatetimeIndex,Methods,std,❌,
313,DatetimeIndex,Selecting,indexer_at_time,❌,
314,DatetimeIndex,Selecting,indexer_between_time,❌,
315,DatetimeIndex,Time-specific operations,ceil,❌,
316,DatetimeIndex,Time-specific operations,day_name,❌,
317,DatetimeIndex,Time-specific operations,floor,❌,
318,DatetimeIndex,Time-specific operations,month_name,❌,
319,DatetimeIndex,Time-specific operations,normalize,❌,
320,DatetimeIndex,Time-specific operations,round,❌,
321,DatetimeIndex,Time-specific operations,snap,❌,
322,DatetimeIndex,Time-specific operations,strftime,❌,
323,DatetimeIndex,Time-specific operations,tz_convert,✅,
324,DatetimeIndex,Time-specific operations,tz_localize,✅,
325,DatetimeIndex,Time/date components,date,✅,
326,DatetimeIndex,Time/date components,day,✅,
327,DatetimeIndex,Time/date components,day_of_week,✅,
328,DatetimeIndex,Time/date components,day_of_year,✅,
329,DatetimeIndex,Time/date components,dayofweek,✅,
330,DatetimeIndex,Time/date components,dayofyear,✅,
331,DatetimeIndex,Time/date components,freq,✅,
332,DatetimeIndex,Time/date components,freqstr,✅,
333,DatetimeIndex,Time/date components,hour,✅,
334,DatetimeIndex,Time/date components,inferred_freq,❌,
335,DatetimeIndex,Time/date components,is_leap_year,❌,
336,DatetimeIndex,Time/date components,is_month_end,❌,
337,DatetimeIndex,Time/date components,is_month_start,✅,
338,DatetimeIndex,Time/date components,is_quarter_end,❌,
339,DatetimeIndex,Time/date components,is_quarter_start,❌,
340,DatetimeIndex,Time/date components,is_year_end,✅,
341,DatetimeIndex,Time/date components,is_year_start,❌,
342,DatetimeIndex,Time/date components,microsecond,❌,
343,DatetimeIndex,Time/date components,minute,✅,
344,DatetimeIndex,Time/date components,month,✅,
345,DatetimeIndex,Time/date components,nanosecond,❌,
346,DatetimeIndex,Time/date components,quarter,✅,
347,DatetimeIndex,Time/date components,second,✅,
348,DatetimeIndex,Time/date components,time,❌,
349,DatetimeIndex,Time/date components,timetz,❌,
350,DatetimeIndex,Time/date components,tz,✅,
351,DatetimeIndex,Time/date components,weekday,✅,
352,DatetimeIndex,Time/date components,year,✅,
353,Expanding,Expanding window functions,aggregate,❌,
354,Expanding,Expanding window functions,apply,❌,
355,Expanding,Expanding window functions,corr,❌,
356,Expanding,Expanding window functions,count,❌,
357,Expanding,Expanding window functions,cov,❌,
358,Expanding,Expanding window functions,kurt,❌,
359,Expanding,Expanding window functions,max,❌,
360,Expanding,Expanding window functions,mean,❌,
361,Expanding,Expanding window functions,median,❌,
362,Expanding,Expanding window functions,min,❌,
363,Expanding,Expanding window functions,quantile,❌,
364,Expanding,Expanding window functions,rank,❌,
365,Expanding,Expanding window functions,sem,❌,
366,Expanding,Expanding window functions,skew,❌,
367,Expanding,Expanding window functions,std,❌,
368,Expanding,Expanding window functions,sum,❌,
369,Expanding,Expanding window functions,var,❌,
370,ExponentialMovingWindow,Exponentially-weighted window functions,corr,❌,
371,ExponentialMovingWindow,Exponentially-weighted window functions,cov,❌,
372,ExponentialMovingWindow,Exponentially-weighted window functions,mean,❌,
373,ExponentialMovingWindow,Exponentially-weighted window functions,std,❌,
374,ExponentialMovingWindow,Exponentially-weighted window functions,sum,❌,
375,ExponentialMovingWindow,Exponentially-weighted window functions,var,❌,
376,Index,Combining / joining / set operations,append,❌,
377,Index,Combining / joining / set operations,difference,✅,
378,Index,Combining / joining / set operations,intersection,✅,
379,Index,Combining / joining / set operations,join,❌,
380,Index,Combining / joining / set operations,symmetric_difference,❌,
381,Index,Combining / joining / set operations,union,✅,
382,Index,Compatibility with MultiIndex,droplevel,❌,
383,Index,Compatibility with MultiIndex,set_names,✅,
384,Index,Conversion,astype,✅,
385,Index,Conversion,item,✅,
386,Index,Conversion,map,❌,
387,Index,Conversion,ravel,❌,
388,Index,Conversion,to_frame,✅,
389,Index,Conversion,to_list,✅,
390,Index,Conversion,to_series,✅,
391,Index,Conversion,view,❌,
392,Index,Missing values,dropna,❌,
393,Index,Missing values,fillna,❌,
394,Index,Missing values,isna,❌,
395,Index,Missing values,notna,❌,
396,Index,Modifying and computations,all,❌,
397,Index,Modifying and computations,any,❌,
398,Index,Modifying and computations,argmax,❌,
399,Index,Modifying and computations,argmin,❌,
400,Index,Modifying and computations,copy,✅,
401,Index,Modifying and computations,delete,❌,
402,Index,Modifying and computations,drop,✅,
403,Index,Modifying and computations,drop_duplicates,❌,
404,Index,Modifying and computations,duplicated,✅,
405,Index,Modifying and computations,equals,✅,
406,Index,Modifying and computations,factorize,❌,
407,Index,Modifying and computations,identical,❌,
408,Index,Modifying and computations,insert,❌,
409,Index,Modifying and computations,is_,❌,
410,Index,Modifying and computations,is_boolean,❌,
411,Index,Modifying and computations,is_categorical,❌,
412,Index,Modifying and computations,is_floating,❌,
413,Index,Modifying and computations,is_integer,❌,
414,Index,Modifying and computations,is_interval,❌,
415,Index,Modifying and computations,is_numeric,❌,
416,Index,Modifying and computations,is_object,❌,
417,Index,Modifying and computations,max,❌,
418,Index,Modifying and computations,min,❌,
419,Index,Modifying and computations,nunique,❌,
420,Index,Modifying and computations,putmask,❌,
421,Index,Modifying and computations,reindex,❌,
422,Index,Modifying and computations,rename,❌,
423,Index,Modifying and computations,repeat,❌,
424,Index,Modifying and computations,take,❌,
425,Index,Modifying and computations,unique,✅,
426,Index,Modifying and computations,value_counts,✅,
427,Index,Modifying and computations,where,❌,
428,Index,Properties,T,✅,
429,Index,Properties,dtype,✅,
430,Index,Properties,empty,✅,
431,Index,Properties,has_duplicates,✅,
432,Index,Properties,hasnans,❌,
433,Index,Properties,inferred_type,❌,
434,Index,Properties,is_monotonic_decreasing,❌,
435,Index,Properties,is_monotonic_increasing,❌,
436,Index,Properties,is_unique,✅,
437,Index,Properties,memory_usage,❌,
438,Index,Properties,name,✅,
439,Index,Properties,names,✅,
440,Index,Properties,nbytes,❌,
441,Index,Properties,ndim,✅,
442,Index,Properties,shape,✅,
443,Index,Properties,size,✅,
444,Index,Properties,values,✅,
445,Index,Selecting,asof,❌,
446,Index,Selecting,asof_locs,❌,
447,Index,Selecting,get_indexer,❌,
448,Index,Selecting,get_indexer_for,✅,
449,Index,Selecting,get_indexer_non_unique,❌,
450,Index,Selecting,get_level_values,✅,
451,Index,Selecting,get_loc,❌,
452,Index,Selecting,get_slice_bound,❌,
453,Index,Selecting,isin,❌,
454,Index,Selecting,slice_indexer,✅,
455,Index,Selecting,slice_locs,❌,
456,Index,Sorting,argsort,❌,
457,Index,Sorting,searchsorted,❌,
458,Index,Sorting,sort_values,✅,
459,Index,Time-specific operations,shift,❌,
460,IntervalIndex,IntervalIndex components,closed,❌,
461,IntervalIndex,IntervalIndex components,contains,❌,
462,IntervalIndex,IntervalIndex components,from_arrays,❌,
463,IntervalIndex,IntervalIndex components,from_breaks,✅,
464,IntervalIndex,IntervalIndex components,from_tuples,❌,
465,IntervalIndex,IntervalIndex components,get_indexer,✅,
466,IntervalIndex,IntervalIndex components,get_loc,❌,
467,IntervalIndex,IntervalIndex components,is_empty,❌,
468,IntervalIndex,IntervalIndex components,is_non_overlapping_monotonic,❌,
469,IntervalIndex,IntervalIndex components,is_overlapping,✅,
470,IntervalIndex,IntervalIndex components,left,❌,
471,IntervalIndex,IntervalIndex components,length,❌,
472,IntervalIndex,IntervalIndex components,mid,❌,
473,IntervalIndex,IntervalIndex components,overlaps,❌,
474,IntervalIndex,IntervalIndex components,right,❌,
475,IntervalIndex,IntervalIndex components,set_closed,❌,
476,IntervalIndex,IntervalIndex components,to_tuples,❌,
477,IntervalIndex,IntervalIndex components,values,❌,
478,MultiIndex,MultiIndex components,append,✅,
479,MultiIndex,MultiIndex components,copy,✅,
480,MultiIndex,MultiIndex components,drop,✅,
481,MultiIndex,MultiIndex components,droplevel,✅,
482,MultiIndex,MultiIndex components,remove_unused_levels,✅,
483,MultiIndex,MultiIndex components,reorder_levels,✅,
484,MultiIndex,MultiIndex components,set_codes,❌,
485,MultiIndex,MultiIndex components,set_levels,❌,
486,MultiIndex,MultiIndex components,sortlevel,✅,
487,MultiIndex,MultiIndex components,swaplevel,❌,
488,MultiIndex,MultiIndex components,to_flat_index,❌,
489,MultiIndex,MultiIndex components,to_frame,✅,
490,MultiIndex,MultiIndex components,truncate,❌,
491,MultiIndex,MultiIndex constructors,from_arrays,✅,
492,MultiIndex,MultiIndex constructors,from_frame,✅,
493,MultiIndex,MultiIndex constructors,from_product,✅,
494,MultiIndex,MultiIndex constructors,from_tuples,✅,
495,MultiIndex,MultiIndex properties,codes,✅,
496,MultiIndex,MultiIndex properties,dtypes,❌,
497,MultiIndex,MultiIndex properties,levels,❌,
498,MultiIndex,MultiIndex properties,levshape,✅,
499,MultiIndex,MultiIndex properties,names,✅,
500,MultiIndex,MultiIndex properties,nlevels,✅,
501,MultiIndex,MultiIndex selecting,get_indexer,✅,
